Iteration	CPUTime	PhysTime	Travels
1	6	0	0.00897239991
2	7	0	0.0179447998
3	9	0	0.0269171997
4	10	0	0.0358895996
5	12	0	0.0448619995
6	13	0	0.0538343994
7	16	0	0.0628067993
8	17	0	0.0717791993
9	18	0	0.0807515992
10	18	0	0.0897239991
11	20	0	0.098696399
12	22	0	0.107668799
13	23	0	0.116641199
14	24	0	0.125613599
15	25	0	0.134585999
16	26	0	0.143558399
17	27	0	0.152530798
18	28	0	0.161503198
19	29	0	0.170475598
20	31	0	0.179447998
21	32	0	0.188420398
22	33	0	0.197392798
23	34	0	0.206365198
24	35	0	0.215337598
25	36	0	0.224309998
26	37	0	0.233282398
27	38	0	0.242254797
28	40	0	0.251227197
29	41	0	0.260199597
30	42	0	0.269171997
31	43	0	0.278144397
32	44	0	0.287116797
33	45	0	0.296089197
34	47	0	0.305061597
35	48	0	0.314033997
36	49	0	0.323006397
37	50	0	0.331978797
38	51	0	0.340951196
39	53	0	0.349923596
40	54	0	0.358895996
41	55	0	0.367868396
42	56	0	0.376840796
43	58	0	0.385813196
44	59	0	0.394785596
45	60	0	0.403757996
46	61	0	0.412730396
47	63	0	0.421702796
48	64	0	0.430675196
49	65	0	0.439647595
50	67	0	0.448619995
51	68	0	0.457592395
52	69	0	0.466564795
53	70	0	0.475537195
54	72	0	0.484509595
55	73	0	0.493481995
56	74	0	0.502454395
57	76	0	0.511426795
58	77	0	0.520399195
59	78	0	0.529371595
60	80	0	0.538343994
61	81	0	0.547316394
62	83	0	0.556288794
63	84	0	0.565261194
64	85	0	0.574233594
65	87	0	0.583205994
66	88	0	0.592178394
67	89	0	0.601150794
68	91	0	0.610123194
69	92	0	0.619095594
70	93	0	0.628067993
71	95	0	0.637040393
72	96	0	0.646012793
73	97	0	0.654985193
74	99	0	0.663957593
75	101	0	0.672929993
76	102	0	0.681902393
77	104	0	0.690874793
78	105	0	0.699847193
79	106	0	0.708819593
80	108	0	0.717791993
81	109	0	0.726764392
82	110	0	0.735736792
83	112	0	0.744709192
84	113	0	0.753681592
85	115	0	0.762653992
86	116	0	0.771626392
87	117	0	0.780598792
88	119	0	0.789571192
89	120	0	0.798543592
90	122	0	0.807515992
91	123	0	0.816488392
92	124	0	0.825460791
93	126	0	0.834433191
94	127	0	0.843405591
95	129	0	0.852377991
96	130	0	0.861350391
97	132	0	0.870322791
98	133	0	0.879295191
99	134	0	0.888267591
100	136	0	0.897239991
101	141	0	0.906212391
102	142	0	0.915184791
103	143	0	0.92415719
104	145	0	0.93312959
105	146	0	0.94210199
106	147	0	0.95107439
107	149	0	0.96004679
108	150	0	0.96901919
109	152	0	0.97799159
110	153	0	0.98696399
111	154	0	0.99593639
112	156	0	1.00490879
113	157	0	1.01388119
114	158	0	1.02285359
115	160	0	1.03182599
116	161	0	1.04079839
117	163	0	1.04977079
118	164	0	1.05874319
119	166	0	1.06771559
120	167	0	1.07668799
121	168	0	1.08566039
122	170	0	1.09463279
123	171	0	1.10360519
124	173	0	1.11257759
125	174	0	1.12154999
126	175	0	1.13052239
127	177	0	1.13949479
128	178	0	1.14846719
129	180	0	1.15743959
130	181	0	1.16641199
131	182	0	1.17538439
132	184	0	1.18435679
133	185	0	1.19332919
134	186	0	1.20230159
135	188	0	1.21127399
136	189	0	1.22024639
137	191	0	1.22921879
138	192	0	1.23819119
139	193	0	1.24716359
140	195	0	1.25613599
141	196	0	1.26510839
142	197	0	1.27408079
143	199	0	1.28305319
144	200	0	1.29202559
145	201	0	1.30099799
146	203	0	1.30997039
147	204	0	1.31894279
148	205	0	1.32791519
149	207	0	1.33688759
150	208	0	1.34585999
151	209	0	1.35483239
152	211	0	1.36380479
153	212	0	1.37277719
154	213	0	1.38174959
155	215	0	1.39072199
156	216	0	1.39969439
157	217	0	1.40866679
158	219	0	1.41763919
159	220	0	1.42661159
160	221	0	1.43558399
161	222	0	1.44455639
162	224	0	1.45352878
163	225	0	1.46250118
164	226	0	1.47147358
165	228	0	1.48044598
166	229	0	1.48941838
167	230	0	1.49839078
168	232	0	1.50736318
169	233	0	1.51633558
170	234	0	1.52530798
171	236	0	1.53428038
172	237	0	1.54325278
173	239	0	1.55222518
174	240	0	1.56119758
175	241	0	1.57016998
176	242	0	1.57914238
177	244	0	1.58811478
178	245	0	1.59708718
179	246	0	1.60605958
180	247	0	1.61503198
181	249	0	1.62400438
182	250	0	1.63297678
183	251	0	1.64194918
184	252	0	1.65092158
185	254	0	1.65989398
186	255	0	1.66886638
187	256	0	1.67783878
188	258	0	1.68681118
189	259	0	1.69578358
190	261	0	1.70475598
191	263	0	1.71372838
192	264	0	1.72270078
193	265	0	1.73167318
194	267	0	1.74064558
195	269	0	1.74961798
196	270	0	1.75859038
197	271	0	1.76756278
198	273	0	1.77653518
199	274	0	1.78550758
200	275	0	1.79447998
201	280	0	1.80345238
202	281	0	1.81242478
203	282	0	1.82139718
204	283	0	1.83036958
205	285	0	1.83934198
206	286	0	1.84831438
207	287	0	1.85728678
208	289	0	1.86625918
209	290	0	1.87523158
210	291	0	1.88420398
211	293	0	1.89317638
212	294	0	1.90214878
213	295	0	1.91112118
214	296	0	1.92009358
215	298	0	1.92906598
216	299	0	1.93803838
217	300	0	1.94701078
218	302	0	1.95598318
219	303	0	1.96495558
220	304	0	1.97392798
221	306	0	1.98290038
222	307	0	1.99187278
223	308	0	2.00084518
224	310	0	2.00981758
225	311	0	2.01878998
226	312	0	2.02776238
227	313	0	2.03673478
228	315	0	2.04570718
229	316	0	2.05467958
230	317	0	2.06365198
231	318	0	2.07262438
232	320	0	2.08159678
233	321	0	2.09056918
234	322	0	2.09954158
235	323	0	2.10851398
236	325	0	2.11748638
237	326	0	2.12645878
238	327	0	2.13543118
239	328	0	2.14440358
240	330	0	2.15337598
241	331	0	2.16234838
242	332	0	2.17132078
243	334	0	2.18029318
244	335	0	2.18926558
245	336	0	2.19823798
246	337	0	2.20721038
247	339	0	2.21618278
248	340	0	2.22515518
249	341	0	2.23412758
250	343	0	2.24309998
251	344	0	2.25207238
252	345	0	2.26104478
253	346	0	2.27001718
254	348	0	2.27898958
255	349	0	2.28796198
256	350	0	2.29693438
257	352	0	2.30590678
258	353	0	2.31487918
259	354	0	2.32385158
260	356	0	2.33282398
261	357	0	2.34179638
262	358	0	2.35076878
263	359	0	2.35974118
264	361	0	2.36871358
265	362	0	2.37768598
266	363	0	2.38665838
267	365	0	2.39563078
268	366	0	2.40460318
269	368	0	2.41357557
270	369	0	2.42254797
271	370	0	2.43152037
272	372	0	2.44049277
273	373	0	2.44946517
274	374	0	2.45843757
275	376	0	2.46740997
276	377	0	2.47638237
277	378	0	2.48535477
278	380	0	2.49432717
279	381	0	2.50329957
280	382	0	2.51227197
281	384	0	2.52124437
282	385	0	2.53021677
283	386	0	2.53918917
284	387	0	2.54816157
285	389	0	2.55713397
286	390	0	2.56610637
287	391	0	2.57507877
288	393	0	2.58405117
289	394	0	2.59302357
290	395	0	2.60199597
291	396	0	2.61096837
292	398	0	2.61994077
293	399	0	2.62891317
294	400	0	2.63788557
295	401	0	2.64685797
296	402	0	2.65583037
297	404	0	2.66480277
298	405	0	2.67377517
299	406	0	2.68274757
300	407	0	2.69171997
301	412	0	2.70069237
302	413	0	2.70966477
303	414	0	2.71863717
304	416	0	2.72760957
305	417	0	2.73658197
306	418	0	2.74555437
307	420	0	2.75452677
308	421	0	2.76349917
309	422	0	2.77247157
310	424	0	2.78144397
311	425	0	2.79041637
312	426	0	2.79938877
313	427	0	2.80836117
314	429	0	2.81733357
315	430	0	2.82630597
316	431	0	2.83527837
317	432	0	2.84425077
318	434	0	2.85322317
319	435	0	2.86219557
320	436	0	2.87116797
321	437	0	2.88014037
322	438	0	2.88911277
323	440	0	2.89808517
324	441	0	2.90705757
325	442	0	2.91602997
326	444	0	2.92500237
327	445	0	2.93397477
328	446	0	2.94294717
329	447	0	2.95191957
330	449	0	2.96089197
331	450	0	2.96986437
332	451	0	2.97883677
333	453	0	2.98780917
334	454	0	2.99678157
335	455	0	3.00575397
336	456	0	3.01472637
337	458	0	3.02369877
338	459	0	3.03267117
339	460	0	3.04164357
340	461	0	3.05061597
341	463	0	3.05958837
342	464	0	3.06856077
343	465	0	3.07753317
344	466	0	3.08650557
345	468	0	3.09547797
346	469	0	3.10445037
347	470	0	3.11342277
348	471	0	3.12239517
349	473	0	3.13136757
350	474	0	3.14033997
351	475	0	3.14931237
352	476	0	3.15828477
353	478	0	3.16725717
354	479	0	3.17622957
355	480	0	3.18520197
356	482	0	3.19417437
357	483	0	3.20314677
358	484	0	3.21211917
359	485	0	3.22109157
360	487	0	3.23006397
361	488	0	3.23903637
362	489	0	3.24800877
363	490	0	3.25698117
364	492	0	3.26595357
365	493	0	3.27492597
366	494	0	3.28389837
367	495	0	3.29287077
368	497	0	3.30184317
369	498	0	3.31081557
370	499	0	3.31978797
371	500	0	3.32876037
372	502	0	3.33773277
373	503	0	3.34670517
374	504	0	3.35567757
375	505	0	3.36464997
376	507	0	3.37362236
377	508	0	3.38259476
378	509	0	3.39156716
379	511	0	3.40053956
380	512	0	3.40951196
381	513	0	3.41848436
382	514	0	3.42745676
383	516	0	3.43642916
