"stress-rfile"
"Iteration" "stress"
("Iteration" "stress")
1 3147404
2 1119948
3 463093.4
4 132220.2
5 -55458.39
6 -143857.9
7 -188597.3
8 -205995.9
9 -200056.8
10 -189334.7
11 -165864.1
12 -136901.4
13 -109337.1
14 -86354.47
15 -65793.78
16 -52455.64
17 -43445.17
18 -43354.66
19 -44497.82
20 -46843.32
21 -48226.55
22 -49175.17
23 -49693.54
24 -49844.18
25 -49793.14
26 -49646.56
27 -49492.68
28 -49326.14
29 -49161.52
30 -49012.74
31 -48875.35
32 -48741.67
33 -48624.07
34 -48507.43
35 -48406.58
36 -48307.58
37 -48214.72
38 -48126.68
39 -48041.45
40 -47961.37
41 -47884.92
42 -47812.51
43 -47743.05
44 -47680.8
45 -47620.55
46 -47564.16
47 -47510.97
48 -47462.12
49 -47414.77
