"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 295.5853
2 60.67945
3 49.5476
4 42.11836
5 38.57658
6 33.78304
7 25.84839
8 16.52019
9 8.855099
10 3.3444
11 1.364765
12 1.625128
13 2.821336
14 4.229973
15 5.754697
16 6.818981
17 7.577367
18 7.444595
19 7.200264
20 7.078403
21 7.027261
22 7.009718
23 7.000771
24 6.98848
25 6.977551
26 6.969391
27 6.965144
28 6.962481
29 6.962425
30 6.962783
31 6.964887
32 6.966527
33 6.970564
34 6.973077
35 6.977543
36 6.98102
37 6.984735
38 6.988035
39 6.991243
40 6.994198
41 6.997056
42 6.999722
43 7.002441
44 7.004869
45 7.007363
46 7.009603
47 7.011837
48 7.013756
49 7.015728
