"stress-rfile"
"Iteration" "stress"
("Iteration" "stress")
1 63988.1724941409
2 65004.0293804391
3 65740.13199065319
4 66290.96183585982
5 66697.4120376738
6 66993.72487646493
7 67227.5399900068
8 67405.59914506125
9 67538.96706476745
10 67636.4858374802
11 67702.97083320894
12 67742.93137328107
13 67759.39353855564
14 67754.97654452409
15 67732.26591259103
16 67693.63518326764
17 67641.34449221757
18 67576.67699736233
19 67499.8283235062
20 67413.11963622051
21 67318.88181687609
22 67217.48324681736
23 67109.29463126106
24 66996.28237431297
25 66880.92061941483
26 66765.37173476866
27 66651.23173122571
28 66539.55736389187
29 66430.96596155596
30 66325.76781345152
31 66224.06843040625
32 66125.92291128634
33 66031.4597453609
34 65940.81281101273
35 65854.10300888096
36 65771.41050393513
37 65692.77484253557
38 65618.15427497134
39 65547.45584850074
40 65480.56147712318
41 65417.30286731049
42 65357.52791315327
43 65301.07678222872
44 65247.76902351129
45 65197.40674759929
46 65149.79017238541
47 65104.75301142658
48 65062.11828559487
49 65021.71034453654
50 64983.38302572419
51 64946.97243336443
52 64912.33203263527
53 64879.33979729397
54 64847.88298683723
55 64817.83839706315
56 64789.06669060238
57 64761.46883193334
58 64734.95350712314
59 64709.4351575326
60 64684.79751235031
61 64660.93877325134
62 64637.77205754688
63 64615.20217209261
64 64593.14058132625
65 64571.49289406926
66 64550.16332950367
67 64529.12761191687
68 64508.30661012811
69 64487.6125712942
70 64466.93542806973
71 64446.21704545526
72 64425.418497037
73 64404.41062160877
74 64383.16504132463
