"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 25.56773404439944
2 25.39526595481604
3 25.20721281644036
4 25.0050465388603
5 24.80493205578312
6 24.61344979009574
7 24.43534211150956
8 24.26971249392844
9 24.11451893543828
10 23.96820072718067
11 23.82911223154986
12 23.69585452103206
13 23.56744293053719
14 23.44327773175387
15 23.3232003381375
16 23.20734178329866
17 23.09603097843747
18 22.98931706681386
19 22.88718861432091
20 22.78977983520375
21 22.69736931844468
22 22.60999167121442
23 22.52758817306637
24 22.45029962274626
25 22.37825647190965
26 22.31155405195868
27 22.25021336700031
28 22.19422817978784
29 22.14352277511009
30 22.09798690556302
31 22.05744165038351
32 22.02167329805859
33 21.99044078482283
34 21.96347725370402
35 21.94049768852751
36 21.92120140237535
37 21.90529868385234
38 21.89247530052183
39 21.88243129335193
40 21.87487412345627
41 21.86953984124638
42 21.86616523063419
43 21.86450235085121
44 21.86431367095837
45 21.86537185083303
46 21.86746865006013
47 21.87042006886684
48 21.8740451686446
49 21.87817215444216
50 21.88265201424761
51 21.88733127898447
52 21.89206933803872
53 21.89674472818581
54 21.90124293060383
55 21.90544786527198
56 21.90923728036503
57 21.91251713109214
58 21.91520669297989
59 21.91722757010137
60 21.91850965836286
61 21.91900205054458
62 21.91864144606452
63 21.91735109937596
64 21.91510731027882
65 21.91188575676514
66 21.90759659509666
67 21.90227454482805
68 21.89588551421505
69 21.88833083924243
70 21.8796575700018
71 21.86983734384373
72 21.85883642271854
73 21.84658293647394
74 21.83305324072636
