Iteration	CPUTime	PhysTime	Travels
1	8	0	0.0129073345
2	9	0	0.025814669
3	9	0	0.0387220035
4	10	0	0.051629338
5	10	0	0.0645366725
6	10	0	0.077444007
7	11	0	0.0903513415
8	12	0	0.103258676
9	13	0	0.11616601
10	15	0	0.129073345
11	16	0	0.141980679
12	18	0	0.154888014
13	19	0	0.167795348
14	21	0	0.180702683
15	22	0	0.193610017
16	24	0	0.206517352
17	25	0	0.219424686
18	27	0	0.232332021
19	29	0	0.245239355
20	30	0	0.25814669
21	32	0	0.271054024
22	33	0	0.283961359
23	34	0	0.296868693
24	36	0	0.309776028
25	37	0	0.322683362
26	39	0	0.335590697
27	40	0	0.348498031
28	42	0	0.361405366
29	43	0	0.3743127
30	44	0	0.387220035
31	44	0	0.400127369
32	45	0	0.413034704
33	45	0	0.425942038
34	45	0	0.438849373
35	46	0	0.451756707
36	46	0	0.464664042
37	46	0	0.477571376
38	47	0	0.490478711
39	47	0	0.503386045
40	47	0	0.51629338
41	48	0	0.529200714
42	48	0	0.542108049
43	48	0	0.555015383
44	49	0	0.567922718
45	49	0	0.580830052
46	50	0	0.593737387
47	50	0	0.606644721
48	50	0	0.619552056
49	51	0	0.63245939
50	51	0	0.645366725
51	51	0	0.658274059
52	52	0	0.671181394
53	52	0	0.684088728
54	52	0	0.696996063
55	53	0	0.709903397
56	53	0	0.722810732
57	53	0	0.735718066
58	54	0	0.748625401
59	54	0	0.761532735
60	54	0	0.77444007
61	55	0	0.787347404
62	55	0	0.800254739
63	56	0	0.813162073
64	56	0	0.826069408
65	56	0	0.838976742
66	57	0	0.851884077
67	57	0	0.864791411
68	57	0	0.877698746
69	58	0	0.89060608
70	58	0	0.903513415
71	58	0	0.916420749
72	59	0	0.929328084
73	59	0	0.942235418
74	59	0	0.955142753
75	60	0	0.968050087
76	60	0	0.980957422
77	60	0	0.993864756
78	61	0	1.00677209
