Iteration	CPUTime	PhysTime	Travels
231	351	0	2.07248467
232	352	0	2.08145646
233	354	0	2.09042826
234	355	0	2.09940005
235	357	0	2.10837185
236	358	0	2.11734364
237	359	0	2.12631544
238	361	0	2.13528724
239	362	0	2.14425903
240	363	0	2.15323083
241	365	0	2.16220262
242	366	0	2.17117442
243	367	0	2.18014621
244	369	0	2.18911801
245	370	0	2.1980898
246	371	0	2.2070616
247	372	0	2.21603339
248	374	0	2.22500519
249	375	0	2.23397698
250	376	0	2.24294878
251	378	0	2.25192057
252	379	0	2.26089237
253	380	0	2.26986416
254	382	0	2.27883596
255	383	0	2.28780775
256	384	0	2.29677955
257	386	0	2.30575134
258	387	0	2.31472314
259	388	0	2.32369493
260	390	0	2.33266673
261	391	0	2.34163852
262	392	0	2.35061032
263	394	0	2.35958211
264	395	0	2.36855391
265	396	0	2.3775257
266	398	0	2.3864975
267	399	0	2.39546929
268	401	0	2.40444109
269	402	0	2.41341288
270	403	0	2.42238468
271	405	0	2.43135647
272	406	0	2.44032827
273	407	0	2.44930006
274	409	0	2.45827186
275	410	0	2.46724365
276	412	0	2.47621545
277	413	0	2.48518724
278	415	0	2.49415904
279	416	0	2.50313083
280	417	0	2.51210263
281	419	0	2.52107442
282	420	0	2.53004622
283	422	0	2.53901801
284	423	0	2.54798981
285	424	0	2.55696161
286	426	0	2.5659334
287	427	0	2.5749052
288	429	0	2.58387699
289	430	0	2.59284879
290	432	0	2.60182058
291	433	0	2.61079238
292	435	0	2.61976417
293	436	0	2.62873597
294	437	0	2.63770776
295	439	0	2.64667956
296	440	0	2.65565135
297	442	0	2.66462315
298	443	0	2.67359494
299	445	0	2.68256674
300	446	0	2.69153853
301	451	0	2.70051033
302	452	0	2.70948212
303	454	0	2.71845392
304	455	0	2.72742571
305	457	0	2.73639751
306	458	0	2.7453693
307	460	0	2.7543411
308	461	0	2.76331289
309	462	0	2.77228469
310	464	0	2.78125648
311	465	0	2.79022828
312	467	0	2.79920007
313	468	0	2.80817187
314	469	0	2.81714366
315	471	0	2.82611546
316	472	0	2.83508725
317	473	0	2.84405905
318	475	0	2.85303084
319	476	0	2.86200264
320	478	0	2.87097443
321	479	0	2.87994623
322	480	0	2.88891802
323	482	0	2.89788982
324	483	0	2.90686161
325	485	0	2.91583341
326	486	0	2.9248052
327	487	0	2.933777
328	489	0	2.94274879
329	490	0	2.95172059
330	492	0	2.96069238
331	493	0	2.96966418
332	494	0	2.97863598
333	496	0	2.98760777
334	497	0	2.99657957
335	498	0	3.00555136
336	500	0	3.01452316
337	501	0	3.02349495
338	503	0	3.03246675
339	504	0	3.04143854
340	505	0	3.05041034
341	507	0	3.05938213
342	508	0	3.06835393
343	509	0	3.07732572
344	511	0	3.08629752
345	512	0	3.09526931
346	513	0	3.10424111
347	515	0	3.1132129
348	516	0	3.1221847
349	517	0	3.13115649
350	519	0	3.14012829
351	520	0	3.14910008
352	521	0	3.15807188
353	523	0	3.16704367
354	524	0	3.17601547
355	525	0	3.18498726
356	527	0	3.19395906
357	528	0	3.20293085
358	529	0	3.21190265
359	531	0	3.22087444
360	532	0	3.22984624
361	533	0	3.23881803
362	535	0	3.24778983
363	536	0	3.25676162
364	537	0	3.26573342
365	538	0	3.27470521
366	540	0	3.28367701
367	541	0	3.2926488
368	542	0	3.3016206
369	544	0	3.31059239
370	545	0	3.31956419
371	546	0	3.32853598
372	547	0	3.33750778
373	549	0	3.34647957
374	550	0	3.35545137
375	551	0	3.36442316
376	553	0	3.37339496
377	554	0	3.38236675
378	555	0	3.39133855
379	557	0	3.40031035
380	558	0	3.40928214
381	559	0	3.41825394
382	560	0	3.42722573
383	562	0	3.43619753
384	563	0	3.44516932
