"shear-stress-rfile"
"Iteration" "shear-stress"
("Iteration" "shear-stress")
1 167.3091181304092
2 233.4805546486064
3 273.2837916317818
4 307.1255343734246
5 338.7092770527473
6 365.5657786155854
7 388.7117697706964
8 408.7593338293606
9 426.5047988600971
10 442.1973737355606
11 456.4565109832815
12 469.071988924053
13 480.5227564262015
14 490.8891743598193
15 501.2655437028683
16 510.3378641715729
17 518.1517598800682
18 525.7712230741787
19 533.8214266898945
20 540.573778519223
21 547.7103901887094
22 555.8998883459312
23 561.0886231301001
24 567.1669150272201
25 575.0213903425503
26 581.7045496781177
27 586.8354820856649
28 592.545123983554
29 597.4358486062836
30 601.013393457287
31 604.5349634890283
32 607.2076494455115
33 609.5584603168893
34 611.9437929490038
35 613.6575239071764
36 615.8219800387084
37 616.2420587321922
38 614.8784343204223
39 616.2392544000484
40 618.6929942054915
41 621.9358990070673
42 618.5938421200347
43 616.943848026788
44 618.0428841145228
45 617.725325975293
46 616.0233836730806
47 615.7749009498571
48 616.7154869289719
49 616.4969114232728
50 614.9166961505548
51 614.4290748645326
52 614.009108510306
53 613.8585792218826
54 613.1142431921693
55 613.5629209783311
56 614.0060968805013
57 613.742073103615
58 613.6229516085472
59 614.3841984816546
60 614.0887953643343
61 614.8014846659132
62 615.5459789898077
63 616.4706780772219
64 618.6433903301162
65 618.899787397109
66 619.7394540748426
67 620.482784182041
68 621.2580768435333
69 620.0910033618189
70 622.0557026730903
71 622.3735406294621
72 622.4074217683706
73 621.2720913228023
74 620.3655114320137
75 620.4969510861083
76 620.4557909076401
77 618.6964752214758
78 617.4745216079804
79 618.0710501232155
80 618.7775463423546
81 618.3761722731218
82 617.9029010879652
83 618.7266444288661
84 620.1093294080225
85 620.1595658626703
86 620.7709528906414
87 620.5704318001578
88 620.3980868210915
89 620.2883968831472
90 620.1027667955964
91 619.4008220684359
92 619.529458008241
93 619.5182466288494
94 620.8778919807623
95 621.0715348769916
96 622.4969530674256
97 623.4026956661252
98 624.5557299570186
99 625.7967714281873
100 627.6898198676926
