"force_x-rfile"
"Iteration" "force_x"
("Iteration" "force_x")
1 208.0720397193585
2 18.59706287795535
3 -62.63264181872152
4 10.82164251168835
5 4.940625351858017
6 0.6149126594816714
7 3.153744547744534
8 -3.771564091292792
9 -4.64328808678777
10 -7.577383139782309
11 -10.29205024228757
12 -10.7447756056468
13 -9.60028960023903
14 -9.671905482794948
15 -8.87093864655958
16 -9.0844551326961
17 -10.00840505139435
18 -9.719861845951321
19 -8.081052808945614
20 -7.617809351546981
21 -7.17403771514843
22 -9.00098403801897
23 -8.027954655723811
24 -6.730094329319066
25 -5.248533578553825
26 -3.78028451933438
27 -3.290936994446575
28 -1.844888928137053
29 -1.147387360070404
30 -0.6964572170252765
31 -0.5906200481533475
32 -0.1942886026361279
33 0.9739788486986996
34 1.164282887267376
35 1.91978442113534
36 3.203630343362079
37 2.517336712831337
38 1.212652172469795
39 -0.08886212027610441
40 1.099273528017854
41 0.4420148356078997
42 0.6620494135989858
43 -0.1741167554563816
44 -0.05677259169065252
45 -1.376397766640153
46 -2.727690026742536
47 -2.37562939786779
48 -2.095847006199641
49 -2.027126838923778
50 -2.124157255483169
51 -2.436673790084761
52 -0.4197149377245495
53 -1.292111204542536
54 -1.235935503813195
55 -2.262625804738001
56 -1.62254696291162
57 -3.439004743596662
58 -4.047488782730092
59 -4.386680302013154
60 -4.729174208544812
61 -5.44468540839047
62 -4.667178238787024
63 -3.825450917187503
64 -2.64404008311395
65 -2.644817229704564
66 -3.381869882414996
67 -3.723425650192588
68 -4.057713887888255
69 -4.861756129556106
70 -5.050367357796738
71 -4.525030962383596
72 -2.936290304995126
73 -0.5646534238119116
74 1.657690028239124
75 0.03869492137683039
76 -1.381908674383801
77 -0.4444740649284071
78 -2.219082219470508
79 -0.8021206310245717
80 0.2502087496350285
81 0.3784063564013209
82 0.6267124011064453
83 2.311723040103956
84 0.3125514437430468
85 2.2661708331038
86 2.538125008954331
87 3.469193471584411
88 1.542930962868049
89 1.473345709785598
90 1.945419953377716
91 1.700054384407643
92 1.460792028445269
93 -0.3494720365573301
94 -1.076855069817753
95 -0.3256288065880639
96 1.042538782639546
97 1.318826935906642
98 1.108064112466295
99 0.9076976974540187
100 0.201305974640043
