Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],"57375,7354128587","57757,4271206486","57375,7354128587","58254,6718577424",100,Yes,"878,936444883642","1732,96579304502"
GG Average Mach Number 2,[ ],"0,866604506059095","0,872061670282363","0,866604506059095","0,879662799432975",100,Yes,"0,0130582933738805","0,016644288545202"
GG Force 3,[N],"584,555233960183","582,841222858114","579,991909711117","584,556016212455",100,Yes,"4,56410650133807","5,35676182394805"
GG Force (X) 4,[N],"-5,08816569855578","-5,0005227803757","-5,09009953705721","-4,84440876667006",100,Yes,"0,24569077038715","1,1493208254539"
GG Force (Y) 5,[N],"-584,341903363799","-582,607628419684","-584,342000440785","-579,733299690216",100,Yes,"4,60870075056869","4,64054943966121"
GG Force (Z) 6,[N],"14,9489830169119","15,7144746836483","14,9489830169119","16,6267334237404",100,Yes,"1,67775040682847","10,7512491666748"
GG Average Shear Stress 7,[Pa],"91,0735190828837","91,4987675213649","90,474015274532","92,544982396498",100,Yes,"1,37792704534817","11,5195646615932"
GG Average Shear Stress (X) 8,[Pa],"0,919114971136355","0,960371191997514","0,847717583391709","1,0577023035149",100,Yes,"0,209984720123193","0,742861524648366"
GG Average Shear Stress (Y) 9,[Pa],"7,12208551446592","7,06440599383343","6,83839752240147","7,20142225877446",100,Yes,"0,0548714587775772","1,0560476122328"
GG Average Shear Stress (Z) 10,[Pa],"86,6696135766621","86,9059653743731","86,1103044357196","87,8048282978639",100,Yes,"1,69452386214425","11,0076026923397"
