Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],"17634,7645472748","17645,3868789617","17634,7645472748","17656,6743396812",100,Yes,"21,9097924064044","75,9685316410267"
GG Average Mach Number 2,[ ],"0,48909302842784","0,489425689852533","0,48909302842784","0,489769311681934",100,Yes,"0,000676283254094245","0,00136752078804048"
GG Force 3,[N],"952,57683109424","952,469878913654","952,398551895271","952,582666995051",100,Yes,"0,121427920755877","2,88608085451719"
GG Force (X) 4,[N],"15,9494351298199","15,9778066458263","15,8942018409946","16,0774864101982",100,Yes,"0,0749676786039135","0,133483660619282"
GG Force (Y) 5,[N],"-952,44166642141","-952,33377703896","-952,447748894283","-952,260659031963",100,Yes,"0,122249065677124","2,77715363314204"
GG Force (Z) 6,[N],"-1,76258928613412","-1,98168265886028","-2,32541161616258","-1,76258928613412",100,Yes,"0,56282233002846","10,5846591392677"
GG Average Shear Stress 7,[Pa],"27,4748379292312","27,7791577346452","27,4748379292312","28,1612435018689",100,Yes,"0,337170573668061","2,18754485293833"
GG Average Shear Stress (X) 8,[Pa],"0,332264590527009","0,340843399284556","0,285908690014554","0,428009727534085",100,Yes,"0,0302288149897859","0,0304999865373947"
GG Average Shear Stress (Y) 9,[Pa],"0,490876665617342","0,499105999601854","0,486050539646652","0,515939606549265",100,Yes,"0,0214661414876091","0,13286523416524"
GG Average Shear Stress (Z) 10,[Pa],"-26,6813568847856","-26,7827613514201","-27,0717975909792","-26,6333801130679",100,Yes,"0,0639164527378107","2,1553261509825"
