Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],"251342,077078882","251585,546096564","251342,077078882","251990,513082926",100,Yes,"648,436004044255","3026,13719171494"
GG Average Mach Number 2,[ ],"1,83420198180702","1,837609756685","1,83420198180702","1,84270805317919",100,Yes,"0,00850607137216564","0,0156116705219332"
GG Force 3,[N],"1019,25824094705","1016,8460535727","1013,85791999945","1019,25824094705",100,Yes,"5,40032094760284","12,8114448508093"
GG Force (X) 4,[N],"17,6458663101099","16,9406807676803","15,0506307809063","17,9989154715926",100,Yes,"0,765360706486014","0,978332982775179"
GG Force (Y) 5,[N],"-1015,12842602668","-1012,48763840973","-1015,12842602668","-1008,72857340169",100,Yes,"6,3998526249834","11,0705699587533"
GG Force (Z) 6,[N],"-89,9458938097971","-92,4385899332318","-100,574563303613","-89,9458938097971",100,Yes,"10,6286694938157","44,2873092911648"
GG Average Shear Stress 7,[Pa],"286,556843945518","290,082678933802","286,556843945518","293,645098223927",100,Yes,"7,08825427840952","24,972738741527"
GG Average Shear Stress (X) 8,[Pa],"1,35449218930504","1,34419313314313","1,0631108715748","1,49301370064005",100,Yes,"0,278790471578994","0,325565553648103"
GG Average Shear Stress (Y) 9,[Pa],"4,86830199021455","4,8194204784571","4,65938869734111","4,94314199254702",100,Yes,"0,283753295205909","1,32385205753904"
GG Average Shear Stress (Z) 10,[Pa],"-274,386778146609","-277,303123026607","-281,102172671323","-274,386778146609",100,Yes,"6,71539452471433","24,1688634848941"
