positionX,positionY,positionZ,positionW,position,positionPrint,worldPos,velocityX,velocityY,velocityZ,velocityW,velocity,velocityPrint,orientRotAxisX,orientRotAxisY,orientRotAxisZ,orientRotAxis,orientAngle,orient,orientPrint,rotVelX,rotVelY,rotVelZ,rotVel,liftoff,apogee,motorIgn,lnchRdClr,time
0.9184921620529992,0.30562665940903977,185.76054545451532,,"(0,91849,0,30563,185,76055,w=12500,00000)","x: 0.9184921620529992, y: 0.30562665940903977, z: 185.76054545451532, w: 12500.0","WorldCoordinate[lat=28.610002748566256, lon=-80.59999059095092, alt=185.76054545451532]",0.8023032571654948,0.19176473376163614,104.25895299477624,,"(0,80230,0,19176,104,25895)","x: 0.8023032571654948, y: 0.19176473376163614, z: 104.25895299477624, w: 0.0",0.01462994426186955,-0.012629653003324682,0.9998132108528699,"(0,01463,-0,01263,0,99981)",4.780888518442557,"Quaternion[-0,730906,0,009985,-0,008619,0,682351,norm=1,000000]","Axis: [0.01462994426186955, -0.012629653003324682, 0.9998132108528699], Angle: 4.780888518442557",0.4046153216204021,-0.047969063095593366,17.817243380958992,"(0,40462,-0,04797,17,81724)",True,False,True,True,1.6838913504457573
0.9204980035033542,0.30610677618128296,186.02117942074196,,"(0,92050,0,30611,186,02118,w=12500,00000)","x: 0.9204980035033542, y: 0.30610677618128296, z: 186.02117942074196, w: 12500.0","WorldCoordinate[lat=28.61000275288405, lon=-80.59999057040304, alt=186.02117942074196]",0.802775459657131,0.1923888141362081,104.26458061234258,,"(0,80278,0,19239,104,26458)","x: 0.802775459657131, y: 0.1923888141362081, z: 104.26458061234258, w: 0.0",0.014657992499120762,-0.013060423160560154,0.9998072657281394,"(0,01466,-0,01306,0,99981)",4.825440598896335,"Quaternion[-0,745926,0,009763,-0,008699,0,665901,norm=1,000000]","Axis: [0.014657992499120762, -0.013060423160560154, 0.9998072657281394], Angle: 4.825440598896335",0.4083677832192964,-0.046023684342541296,17.818045952442546,"(0,40837,-0,04602,17,81805)",True,False,True,True,1.6863913504457573
0.9225048640745909,0.30658853972283634,186.28182745757698,,"(0,92250,0,30659,186,28183,w=12500,00000)","x: 0.9225048640745909, y: 0.30658853972283634, z: 186.28182745757698, w: 12500.0","WorldCoordinate[lat=28.61000275721665, lon=-80.59999054984473, alt=186.28182745757698]",0.8031145875702594,0.19308248284582752,104.2702095686985,,"(0,80311,0,19308,104,27021)","x: 0.8031145875702594, y: 0.19308248284582752, z: 104.2702095686985, w: 0.0",0.014684841241440724,-0.01352175501901762,0.9998007389369825,"(0,01468,-0,01352,0,99980)",4.869994537671331,"Quaternion[-0,760577,0,009534,-0,008779,0,649119,norm=1,000000]","Axis: [0.014684841241440724, -0.01352175501901762, 0.9998007389369825], Angle: 4.869994537671331",0.4125627214272893,-0.043209981836236144,17.8188348066878,"(0,41256,-0,04321,17,81883)",True,False,True,True,1.6888913504457572
0.9245124123690844,0.30707210994487266,186.54248956827087,,"(0,92451,0,30707,186,54249,w=12500,00000)","x: 0.9245124123690844, y: 0.30707210994487266, z: 186.54248956827087, w: 12500.0","WorldCoordinate[lat=28.610002761565504, lon=-80.59999052927937, alt=186.54248956827087]",0.8033219690826093,0.19383406238916337,104.27583978182719,,"(0,80332,0,19383,104,27584)","x: 0.8033219690826093, y: 0.19383406238916337, z: 104.27583978182719, w: 0.0",0.014710717550294142,-0.014018321952578095,0.9997935194022852,"(0,01471,-0,01402,0,99979)",4.914550257232997,"Quaternion[-0,774851,0,009299,-0,008862,0,632014,norm=1,000000]","Axis: [0.014710717550294142, -0.014018321952578095, 0.9997935194022852], Angle: 4.914550257232997",0.41712578737567163,-0.03953794813092806,17.819611917762863,"(0,41713,-0,03954,17,81961)",True,False,True,True,1.6913913504457572
0.926520322313617,0.30755761707075296,186.80316575584058,,"(0,92652,0,30756,186,80317,w=12500,00000)","x: 0.926520322313617, y: 0.30755761707075296, z: 186.80316575584058, w: 12500.0","WorldCoordinate[lat=28.610002765931767, lon=-80.5999905087103, alt=186.80316575584058]",0.8034005861059851,0.19463149562368182,104.28147114608699,,"(0,80340,0,19463,104,28147)","x: 0.8034005861059851, y: 0.19463149562368182, z: 104.28147114608699, w: 0.0",0.014735899774530256,-0.014555275526335525,0.9997854755957433,"(0,01474,-0,01456,0,99979)",4.959107674604146,"Quaternion[-0,788741,0,009059,-0,008948,0,614594,norm=1,000000]","Axis: [0.014735899774530256, -0.014555275526335525, 0.9997854755957433], Angle: 4.959107674604146",0.42198050483740396,-0.035043670992013755,17.820379393340346,"(0,42198,-0,03504,17,82038)",True,False,True,True,1.6938913504457571
0.9285282772739407,0.30804516090850936,187.06385602301273,,"(0,92853,0,30805,187,06386,w=12500,00000)","x: 0.9285282772739407, y: 0.30804516090850936, z: 187.06385602301273, w: 12500.0","WorldCoordinate[lat=28.61000277031636, lon=-80.59999048814078, alt=187.06385602301273]",0.8033550557433433,0.19546253342223888,104.2871035339658,,"(0,80336,0,19546,104,28710)","x: 0.8033550557433433, y: 0.19546253342223888, z: 104.2871035339658, w: 0.0",0.014760694710722555,-0.015138327626547413,0.999776451477203,"(0,01476,-0,01514,0,99978)",5.003666700254209,"Quaternion[-0,802239,0,008812,-0,009038,0,596869,norm=1,000000]","Axis: [0.014760694710722555, -0.015138327626547413, 0.999776451477203], Angle: 5.003666700254209",0.4270603556087922,-0.029738516052153934,17.821139002414355,"(0,42706,-0,02974,17,82114)",True,False,True,True,1.696391350445757
0.9305359740967608,0.3085348105664258,187.32456037217105,,"(0,93054,0,30853,187,32456,w=12500,00000)","x: 0.9305359740967608, y: 0.3085348105664258, z: 187.32456037217105, w: 12500.0","WorldCoordinate[lat=28.610002774719884, lon=-80.5999904675739, alt=187.32456037217105]",0.803191589872428,0.19631489143236636,104.2927367978034,,"(0,80319,0,19631,104,29274)","x: 0.803191589872428, y: 0.19631489143236636, z: 104.2927367978034, w: 0.0",0.014785473930275291,-0.015773888737097418,0.999766259780149,"(0,01479,-0,01577,0,99977)",5.048227235555452,"Quaternion[-0,815341,0,008561,-0,009133,0,578846,norm=1,000000]","Axis: [0.014785473930275291, -0.015773888737097418, 0.999766259780149], Angle: 5.048227235555452",0.4322705085019881,-0.02364643669372283,17.821893252772284,"(0,43227,-0,02365,17,82189)",True,False,True,True,1.698891350445757
0.9325431270680831,0.30902660459389036,187.58527880530676,,"(0,93254,0,30903,187,58528,w=12500,00000)","x: 0.9325431270680831, y: 0.30902660459389036, z: 187.58527880530676, w: 12500.0","WorldCoordinate[lat=28.61000277914269, lon=-80.5999904470126, alt=187.58527880530676]",0.8029179563553941,0.19717643763017859,104.29837077059678,,"(0,80292,0,19718,104,29837)","x: 0.8029179563553941, y: 0.19717643763017859, z: 104.29837077059678, w: 0.0",0.014810661709584954,-0.016469111988037403,0.9997546762331612,"(0,01481,-0,01647,0,99975)",5.092789172981007,"Quaternion[-0,828037,0,008304,-0,009234,0,560535,norm=1,000000]","Axis: [0.014810661709584954, -0.016469111988037403, 0.9997546762331612], Angle: 5.092789172981007",0.43753660155765306,-0.01685726625251901,17.82264434592206,"(0,43754,-0,01686,17,82264)",True,False,True,True,1.701391350445757
0.9345494716591327,0.3095205515757139,187.84601132397262,,"(0,93455,0,30952,187,84601,w=12500,00000)","x: 0.9345494716591327, y: 0.3095205515757139, z: 187.84601132397262, w: 12500.0","WorldCoordinate[lat=28.610002783584864, lon=-80.59999042645957, alt=187.84601132397262]",0.8025433727770185,0.19803537143508687,104.30400526761287,,"(0,80254,0,19804,104,30401)","x: 0.8025433727770185, y: 0.19803537143508687, z: 104.30400526761287, w: 0.0",0.014836758067537172,-0.01723206770108873,0.9997414297971329,"(0,01484,-0,01723,0,99974)",5.137352393156762,"Quaternion[-0,840324,0,008043,-0,009341,0,541945,norm=1,000000]","Axis: [0.014836758067537172, -0.01723206770108873, 0.9997414297971329], Angle: 5.137352393156762",0.44278233371810855,-0.009404855962276349,17.823394331141056,"(0,44278,-0,00940,17,82339)",True,False,True,True,1.703891350445757
0.9365547680524606,0.3100166311643763,188.10675792923922,,"(0,93655,0,31002,188,10676,w=12500,00000)","x: 0.9365547680524606, y: 0.3100166311643763, z: 188.10675792923922, w: 12500.0","WorldCoordinate[lat=28.610002788046213, lon=-80.59999040591728, alt=188.10675792923922]",0.8020784083016734,0.19888038955430487,104.30964008716789,,"(0,80208,0,19888,104,30964)","x: 0.8020784083016734, y: 0.19888038955430487, z: 104.30964008716789, w: 0.0",0.014864340786862832,-0.018071907360847312,0.9997261912830631,"(0,01486,-0,01807,0,99973)",5.181916762630352,"Quaternion[-0,852193,0,007777,-0,009456,0,523085,norm=1,000000]","Axis: [0.014864340786862832, -0.018071907360847312, 0.9997261912830631], Angle: 5.181916762630352",0.4479266489346885,-0.0013730265351922111,17.824145525746374,"(0,44793,-0,00137,17,82415)",True,False,True,True,1.7063913504457568
0.9385588043701073,0.3105147955192311,188.36751862165357,,"(0,93856,0,31051,188,36752,w=12500,00000)","x: 0.9385588043701073, y: 0.3105147955192311, z: 188.36751862165357, w: 12500.0","WorldCoordinate[lat=28.61000279252631, lon=-80.5999903853879, alt=188.36751862165357]",0.801534865559823,0.1997008425162613,104.31527501124509,,"(0,80153,0,19970,104,31528)","x: 0.801534865559823, y: 0.1997008425162613, z: 104.31527501124509, w: 0.0",0.014894045531150797,-0.01899911744800995,0.9997085580027522,"(0,01489,-0,01900,0,99971)",5.226482129984563,"Quaternion[-0,863639,0,007508,-0,009578,0,503963,norm=1,000000]","Axis: [0.014894045531150797, -0.01899911744800995, 0.9997085580027522], Angle: 5.226482129984563",0.45292852758721763,0.007164449579776237,17.82489922137576,"(0,45293,0,00716,17,82490)",True,False,True,True,1.7088913504457568
