Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],57931.7489548149,58454.5551644781,57931.7489548149,59085.176520197,100,Yes,1153.42756538214,1738.04071179555
GG Average Mach Number 2,[ ],0.876705219846277,0.883891963182345,0.876705219846277,0.893027769281969,100,Yes,0.016322549435692,0.0164563264175152
GG Force 3,[N],575.704141485329,573.873135092242,571.310936094428,575.704141485329,100,Yes,4.39320539090056,5.49461592620649
GG Force (X) 4,[N],3.74308073070454,4.29820061145709,3.74308073070454,4.74064195053527,100,Yes,0.997561219830727,2.32456042352829
GG Force (Y) 5,[N],-575.494459242081,-573.626266603085,-575.494459242081,-571.024302526896,100,Yes,4.47015671518523,4.74504574740949
GG Force (Z) 6,[N],15.0789671949943,16.2526709477956,15.0789671949943,17.4630449424182,100,Yes,2.38407774742395,10.8514926043429
GG Average Shear Stress 7,[Pa],87.6682920930824,89.3719522089276,87.668083126308,91.8227780408628,100,Yes,4.15469491455477,12.2319866575015
GG Average Shear Stress (X) 8,[Pa],4.12233705209201,4.44293855087818,4.08939555989001,4.91651761096546,100,Yes,0.827122051075454,1.32504746229118
GG Average Shear Stress (Y) 9,[Pa],6.7138801242547,6.7739307054401,6.68064684883241,6.8536636653473,100,Yes,0.147854015768957,1.07126746705269
GG Average Shear Stress (Z) 10,[Pa],83.1953174308455,85.2044126586598,83.1333592780125,87.5693833622824,100,Yes,4.43602408426986,11.6641111617398
