Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],251929.820724499,252257.949208745,251929.820724499,252908.840398749,100,Yes,979.019674249663,3325.542937594
GG Average Mach Number 2,[ ],1.84325670411695,1.84726123074761,1.84325670411695,1.85626808045159,100,Yes,0.0130113763346371,0.0165983849468903
GG Force 3,[N],1013.04654410901,1010.48794914181,1006.99758663943,1013.04654410901,100,Yes,6.04895746957732,14.9580332513591
GG Force (X) 4,[N],43.4310497554456,43.4867430332666,42.4661898369381,43.9518244015113,100,Yes,1.4856345645732,2.57059279198297
GG Force (Y) 5,[N],-1007.71461104271,-1004.77880253541,-1007.71461104271,-1000.65319804253,100,Yes,7.06141300018157,12.143750771318
GG Force (Z) 6,[N],-94.2778189150086,-97.9535829891912,-104.32875893574,-93.3709280931217,100,Yes,10.9578308426178,47.5432878862191
GG Average Shear Stress 7,[Pa],299.289805431298,303.072410509117,299.289805431298,311.901548949954,100,Yes,12.6117435186566,27.2435075729264
GG Average Shear Stress (X) 8,[Pa],9.68329203194765,9.60217845240468,9.4025341422941,10.0777504507525,100,Yes,0.675216308458353,1.28251792227871
GG Average Shear Stress (Y) 9,[Pa],5.05566642709721,5.29441486506417,4.92603820629885,6.18074518941807,100,Yes,1.25470698311922,1.5074422513015
GG Average Shear Stress (Z) 10,[Pa],-285.112133196077,-288.772951465308,-297.437457796858,-285.112133196077,100,Yes,12.3253246007805,26.4784825502673
