Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],17587.7071342708,17576.2495970904,17564.5724527319,17589.4312842762,100,Yes,24.8588315443121,78.2809769946594
GG Average Mach Number 2,[ ],0.488407056165749,0.488463100831681,0.488303394977501,0.488769746098819,100,Yes,0.000466351121317932,0.00150621151036987
GG Force 3,[N],954.323806279955,954.390776492075,953.572082274193,955.695684752573,100,Yes,2.12360247838012,3.31087795077024
GG Force (X) 4,[N],17.193097405077,17.2161539613741,16.4339703984416,17.736970724377,100,Yes,0.747301574707606,1.00655742160344
GG Force (Y) 5,[N],-954.165733318209,-954.230170792353,-955.546387532235,-953.404643752069,100,Yes,2.14174378016639,3.16831675047188
GG Force (Z) 6,[N],-2.46535912325097,-3.12597565767914,-3.68279080133379,-2.46233636805252,100,Yes,1.22045443328127,11.4803594605407
GG Average Shear Stress 7,[Pa],28.5918471171125,28.6791613772456,28.2863055150814,29.2487805104891,100,Yes,0.951562441466628,2.5338972086221
GG Average Shear Stress (X) 8,[Pa],1.06781022125926,1.12892327038512,1.04710783049493,1.2619147274202,100,Yes,0.108690832371076,0.114016486196861
GG Average Shear Stress (Y) 9,[Pa],0.613491535342432,0.646642867552961,0.610110994164041,0.684121373262129,100,Yes,0.0406850555628816,0.131929199008934
GG Average Shear Stress (Z) 10,[Pa],-27.0542636597877,-27.0300229500481,-27.6178046788266,-26.619511385049,100,Yes,0.998293293777607,2.50175269537866
