Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],16003.003677169,16100.3255927115,16003.003677169,16194.720834488,100,Yes,191.71715731901,192.512966073753
GG Average Mach Number 2,[ ],0.462803335648464,0.465078835697623,0.462803335648464,0.466850836035352,100,Yes,0.00404750038688867,0.00432951410266027
GG Force 3,[N],568.235525792616,567.57782181858,567.052471577831,568.493955760144,100,Yes,1.44148418231384,3.00693283451201
GG Force (X) 4,[N],-10.1809671385419,-10.1582791036,-10.346248875389,-10.0771317773482,100,Yes,0.236561577076296,0.293219089819959
GG Force (Y) 5,[N],-568.137474091349,-567.478301208522,-568.388616033625,-566.953134055302,100,Yes,1.43548197832274,2.83694310078497
GG Force (Z) 6,[N],2.78768973117207,3.11938450920177,2.78768973117207,3.56567432693016,100,Yes,0.568216617058575,6.02844602555442
GG Average Shear Stress 7,[Pa],27.6928434621459,28.129779265199,27.6928434621459,29.0897783710984,100,Yes,1.10512763750758,3.20004393500351
GG Average Shear Stress (X) 8,[Pa],-0.282899623314403,-0.306144038011812,-0.325124935385545,-0.282899623314403,100,Yes,0.0422253120711419,0.062616948849573
GG Average Shear Stress (Y) 9,[Pa],2.18020667284829,2.19118059410608,2.1624360096823,2.24411870862756,100,Yes,0.027752712181444,0.335170182299049
GG Average Shear Stress (Z) 10,[Pa],26.1610676152155,26.4993867992417,26.1610676152155,26.9600409406774,100,Yes,0.798973325461873,3.14347027043393
