Goal Name,Unit,Value,Averaged Value,Minimum Value,Maximum Value,Progress [%],Use In Convergence,Delta,Criteria
GG Average Dynamic Pressure 1,[Pa],130320.946248808,130838.796268366,130320.946248808,131617.413754962,100,Yes,1296.46750615379,3998.43876972493
GG Average Mach Number 2,[ ],1.31774251459241,1.32540688569266,1.31774251459241,1.33705208378948,100,Yes,0.0193095691970631,0.0246466923898893
GG Force 3,[N],598.264324718754,595.834257443992,591.752709226413,598.264324718754,100,Yes,6.51161549234121,8.13408938347088
GG Force (X) 4,[N],2.2746958414497,2.17376142312106,1.93491054345046,2.29325155555366,100,Yes,0.358341012103199,1.35317203241494
GG Force (Y) 5,[N],-596.70600950579,-594.133062901131,-596.70600950579,-589.87594569252,100,Yes,6.83006381326913,6.84070209809351
GG Force (Z) 6,[N],43.0925307877383,44.9208841843216,43.0925307877383,47.0520317451119,100,Yes,3.95950095737365,14.4279676069618
GG Average Shear Stress 7,[Pa],177.264522580283,179.224823826069,176.978541258101,183.540390026939,100,Yes,6.56184876883805,22.866847528741
GG Average Shear Stress (X) 8,[Pa],3.77717221479827,3.92528908719026,3.73553260541677,4.0667930775924,100,Yes,0.174051556045923,1.21683318131692
GG Average Shear Stress (Y) 9,[Pa],10.421627077476,10.4406243960482,10.3871963028383,10.52117185202,100,Yes,0.133975549181679,1.74098355260251
GG Average Shear Stress (Z) 10,[Pa],167.363242220906,169.889231859514,167.113137902629,174.876778778723,100,Yes,7.76364087609394,22.0959924899884
