Iteration	CPUTime	PhysTime	Travels
1	6	0	0.00897203701
2	7	0	0.017944074
3	8	0	0.026916111
4	9	0	0.035888148
5	10	0	0.044860185
6	12	0	0.053832222
7	13	0	0.062804259
8	14	0	0.0717762961
9	15	0	0.0807483331
10	16	0	0.0897203701
11	17	0	0.0986924071
12	19	0	0.107664444
13	20	0	0.116636481
14	21	0	0.125608518
15	22	0	0.134580555
16	23	0	0.143552592
17	24	0	0.152524629
18	25	0	0.161496666
19	27	0	0.170468703
20	28	0	0.17944074
21	29	0	0.188412777
22	30	0	0.197384814
23	31	0	0.206356851
24	32	0	0.215328888
25	33	0	0.224300925
26	35	0	0.233272962
27	36	0	0.242244999
28	37	0	0.251217036
29	38	0	0.260189073
30	39	0	0.26916111
31	41	0	0.278133147
32	42	0	0.287105184
33	43	0	0.296077221
34	45	0	0.305049258
35	46	0	0.314021295
36	47	0	0.322993332
37	49	0	0.331965369
38	51	0	0.340937406
39	52	0	0.349909443
40	53	0	0.35888148
41	55	0	0.367853517
42	56	0	0.376825554
43	58	0	0.385797591
44	59	0	0.394769628
45	61	0	0.403741665
46	62	0	0.412713702
47	64	0	0.421685739
48	65	0	0.430657776
49	66	0	0.439629813
50	68	0	0.44860185
51	69	0	0.457573887
52	70	0	0.466545924
53	71	0	0.475517961
54	73	0	0.484489998
55	74	0	0.493462035
56	75	0	0.502434072
57	76	0	0.511406109
58	78	0	0.520378146
59	79	0	0.529350183
60	80	0	0.53832222
61	82	0	0.547294257
62	83	0	0.556266294
63	84	0	0.565238331
64	85	0	0.574210368
65	87	0	0.583182405
66	88	0	0.592154442
67	89	0	0.601126479
68	91	0	0.610098516
69	92	0	0.619070553
70	93	0	0.62804259
71	94	0	0.637014627
72	96	0	0.645986664
73	97	0	0.654958701
74	98	0	0.663930738
75	100	0	0.672902775
76	101	0	0.681874812
77	102	0	0.69084685
78	103	0	0.699818887
79	105	0	0.708790924
80	106	0	0.717762961
81	107	0	0.726734998
82	109	0	0.735707035
83	110	0	0.744679072
84	111	0	0.753651109
85	113	0	0.762623146
86	114	0	0.771595183
87	115	0	0.78056722
88	116	0	0.789539257
89	118	0	0.798511294
90	119	0	0.807483331
91	120	0	0.816455368
92	121	0	0.825427405
93	123	0	0.834399442
94	124	0	0.843371479
95	125	0	0.852343516
96	127	0	0.861315553
97	128	0	0.87028759
98	129	0	0.879259627
99	130	0	0.888231664
100	132	0	0.897203701
101	136	0	0.906175738
102	137	0	0.915147775
103	139	0	0.924119812
104	140	0	0.933091849
105	141	0	0.942063886
106	143	0	0.951035923
107	144	0	0.96000796
108	145	0	0.968979997
109	146	0	0.977952034
110	148	0	0.986924071
111	149	0	0.995896108
112	150	0	1.00486814
113	152	0	1.01384018
114	153	0	1.02281222
115	154	0	1.03178426
116	156	0	1.04075629
117	157	0	1.04972833
118	159	0	1.05870037
119	160	0	1.0676724
120	161	0	1.07664444
121	163	0	1.08561648
122	164	0	1.09458851
123	165	0	1.10356055
124	167	0	1.11253259
125	168	0	1.12150463
126	169	0	1.13047666
127	171	0	1.1394487
128	172	0	1.14842074
129	173	0	1.15739277
130	175	0	1.16636481
131	176	0	1.17533685
132	177	0	1.18430888
133	179	0	1.19328092
134	180	0	1.20225296
135	182	0	1.211225
136	183	0	1.22019703
137	185	0	1.22916907
138	187	0	1.23814111
139	188	0	1.24711314
140	190	0	1.25608518
141	191	0	1.26505722
142	193	0	1.27402925
143	194	0	1.28300129
144	197	0	1.29197333
145	198	0	1.30094537
146	200	0	1.3099174
147	202	0	1.31888944
148	203	0	1.32786148
149	207	0	1.33683351
150	207	0	1.34580555
151	208	0	1.35477759
152	209	0	1.36374962
153	210	0	1.37272166
154	212	0	1.3816937
155	213	0	1.39066574
156	214	0	1.39963777
157	216	0	1.40860981
158	217	0	1.41758185
159	219	0	1.42655388
160	220	0	1.43552592
161	221	0	1.44449796
162	223	0	1.45347
163	224	0	1.46244203
164	225	0	1.47141407
165	227	0	1.48038611
166	228	0	1.48935814
