"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 309.3283857994629
2 87.47190075043038
3 63.7973187311014
4 50.21773594177248
5 37.2128144190075
6 24.54039233399338
7 13.57451117102478
8 4.934015540889444
9 0.06957701468596333
10 -0.9727885300932169
11 0.3944550067773491
12 2.539317869909628
13 4.220197232998235
14 5.560538446411547
15 6.443630828442322
16 6.883475445090843
17 6.956413320087393
18 6.871986758289325
19 6.842402739562153
20 6.819712804740949
21 6.805281081712844
22 6.797629596160823
23 6.785253914918249
24 6.771575286221947
25 6.766643789444918
26 6.764399362548607
27 6.765410358494925
28 6.767106604395637
29 6.770209875530957
30 6.772897988653212
31 6.775516021165706
32 6.777763629762344
33 6.78024425828819
34 6.782306373484792
35 6.78452283196741
36 6.786233827643203
37 6.788005079676229
38 6.789417126594152
39 6.790910641672219
40 6.792061597847613
41 6.793282381100257
42 6.794104209098472
43 6.795044680572742
44 6.795633437012154
45 6.796343722292359
46 6.796729990228105
47 7.260903129419842
48 6.951194917550982
49 6.849708807694642
50 6.831813650162694
51 6.834778196939354
52 6.837647150007163
53 6.838533471372374
54 6.837235420555445
55 6.834759658100202
56 6.831804322359766
57 6.829193875073693
58 6.826719529455972
59 6.82506007829173
60 6.823484012476368
61 6.822001322704898
62 6.820512374114643
63 6.84826870931751
64 6.750967499125563
65 6.633318714391325
66 6.611017171999965
67 6.59431739493927
68 6.606529345495352
69 6.617324194995127
70 6.637358550245571
71 6.654746509605237
72 6.673825849865316
73 6.690216845649535
74 6.70603901170907
75 6.719174770533275
76 6.731415669611146
77 6.741282295311458
78 18.30025519912244
79 4.783371336327781
80 6.131183244533126
81 21.36438086590738
82 25.80353208996244
83 19.55174115033152
